VOWEL,DURATION,F1,F2,F3,Stress
ʌ,208.13,889,1291,2973,s
ʌ,224.99,847,1290,2907,s
ʌ,222.38,859,1206,2913,s
e,228.83,520,2483,3097,s
e,216.23,545,2385,2787,s
e,208.06,579,2605,2999,s
ø,150.96,542,1704,2648,s
ø,148.67,547,1671,2569,s
ø,146.05,544,1598,2534,s
u,109.74,421,1078,2213,s
u,120.90,461,1196,2686,s
u,157.81,451,1066,2154,s
u,165.77,313,1522,2739,s
u,168.45,369,1485,2691,s
u,172.60,361,1443,2723,s
i,118.45,333,2541,2889,s
i,105.65,316,2552,2980,s
i,117.17,345,2568,2766,s
ʌ,160.79,847,1099,2784,s
ʌ,151.20,888,1198,2825,s
ʌ,166.57,895,1228,2904,s
ʌ,210.57,818,1119,3228,s
ʌ,187.05,844,1172,2990,s
ʌ,215.31,852,1167,2980,s
a,135.32,1093,1546,2532,s
a,115.60,1056,1587,2554,s
a,111.88,994,1543,2648,s
a,226.48,1085,1682,2979,s
a,232.12,1096,1668,3001,s
a,222.35,1171,1765,2938,s
ʌ,218.94,874,1145,3002,s
ʌ,224.02,891,1131,3135,s
ʌ,238.85,870,1121,3038,s
i,195.82,340,2862,3195,s
i,193.91,412,2862,3361,s
i,175.93,362,2725,3017,s
o,185.09,648,1061,2858,s
ø,158.04,584,1887,2707,s
ø,182.21,580,1683,2646,s
ø,181.54,563,1688,2667,s
i,99.66,305,2607,3173,s
i,92.16,310,2577,2900,s
i,94.47,318,2550,3081,s
o,127.03,624,999,3058,s
o,146.68,646,955,3043,s
o,145.07,653,1023,2942,s
a,119.46,1128,1764,2365,s
a,136.59,1136,1695,2588,s
a,127.36,1015,1755,2564,s
o,135.53,545,1079,2880,s
o,117.13,574,1121,2757,s
o,139.66,564,1089,2782,s
e,129.02,633,2429,3044,s
e,112.20,631,2350,2763,s
e,116.42,671,2319,2821,s
e,149.42,562,2334,2964,s
e,138.15,544,2323,2902,s
e,165.34,613,2235,2805,s
a,228.53,1082,1790,2741,s
a,242.53,1064,1811,2757,s
a,221.82,1067,1863,2801,s
ʌ,173.70,1033,1126,3250,s
ʌ,167.63,971,1227,3118,s
ʌ,168.03,1001,1222,3114,s
ø,217.32,518,1755,2643,s
ø,232.82,583,1756,2715,s
ø,233.88,575,1738,2677,s
o,248.31,668,995,3123,s
o,245.23,719,1025,3275,s
o,233.08,692,997,3164,s
u,127.16,333,1359,2825,s
u,125.71,324,1409,2772,s
u,125.02,341,1475,2778,s
u,223.76,352,1297,2769,s
u,229.33,358,1236,2757,s
u,215.73,340,1124,2638,s
o,183.80,697,981,3229,s
o,179.91,718,1016,3220,s
o,194.65,694,1041,3221,s
ɛ,304.94,711,2409,2727,s
ɛ,294.44,715,2450,2947,s
ɛ,308.87,726,2331,2894,s
e,176.82,572,2287,2814,s
e,160.13,650,2229,2850,s
e,177.23,653,2166,2833,s
i,138.20,425,2596,3179,s
i,158.30,490,2601,3109,s
i,176.08,481,2586,2988,s
ø,152.50,553,1825,2600,s
ø,154.65,562,1871,2266,s
ø,146.13,622,1831,2597,s
o,282.28,605,1029,2848,s
o,262.93,669,1032,2906,s
o,277.61,676,1065,2918,s
u,270.93,486,1019,2461,s
u,264.47,493,1031,2467,s
u,247.68,507,1069,2400,s
a,198.32,1137,1611,3035,s
a,185.47,1126,1657,2976,s
a,188.86,1124,1611,2939,s
u,272.96,468,1301,2895,s
u,273.78,493,1117,2592,s
u,256.67,507,1154,2758,s
u,281.27,487,1046,2484,s
u,256.88,488,1027,2499,s
e,173.24,621,2479,3059,s
e,168.49,595,2510,3068,s
i,131.49,294,2604,3092,s
i,133.63,310,2500,2916,s
i,138.12,451,2673,3164,s
i,149.14,444,2712,3240,s
o,258.07,614,1071,2781,s
o,226.33,619,1127,2702,s
a,138.41,1064,1521,2574,s
a,135.75,1016,1549,2606,s
ʌ,234.34,893,1173,3073,s
ʌ,249.78,902,1146,3060,s
ø,132.80,534,1745,2673,s
ø,127.01,537,1602,2635,s
i,229.32,355,2819,3294,s
i,241.23,394,2662,3144,s
o,139.19,652,970,2928,s
o,117.97,696,972,2984,s
u,104.31,446,1075,2477,s
u,116.66,489,1098,2531,s
u,275.30,390,1293,2641,s
u,270.06,382,1296,2718,s
i,90.96,361,2612,3262,s
i,90.90,342,2612,3003,s
e,141.65,583,2372,2866,s
e,122.52,562,2382,2758,s
e,156.37,582,2159,2656,s
e,144.56,607,2178,2812,s
a,285.63,1092,1742,2903,s
a,292.72,1124,1636,3084,s
ø,149.53,552,1914,2652,s
ø,160.96,544,1773,2650,s
a,112.06,1051,1580,2434,s
a,133.08,1024,1647,2514,s
ø,219.26,506,1882,2730,s
ø,214.97,528,1868,2664,s
ɛ,255.68,701,2383,2972,s
ɛ,254.11,796,2291,2867,s
o,205.08,633,965,3083,s
o,215.88,668,948,3122,s
o,159.33,723,1077,3018,s
o,159.05,721,1061,3098,s
ø,129.89,593,1966,2316,s
ø,162.53,609,1709,2600,s
ʌ,129.99,921,1166,2777,s
ʌ,151.05,900,1231,2796,s
ʌ,174.22,851,1185,2957,s
ʌ,164.05,871,1192,2747,s
a,164.03,1193,1755,3108,s
a,169.11,1158,1653,2719,s
e,193.07,555,2391,2872,s
e,197.36,599,2399,2865,s
u,167.83,287,1455,2687,s
u,142.96,301,1428,2684,s
o,111.80,546,1045,2790,s
o,124.44,599,1137,2808,s
ʌ,202.86,864,1129,3008,s
ʌ,220.38,888,1120,2970,s
ʌ,154.91,903,1210,2876,s
ʌ,163.42,884,1248,3041,s
a,231.83,1045,1704,2699,s
a,178.02,1022,1589,2672,s
u,102.17,355,1409,2732,s
u,112.92,366,1511,2654,s
u,213.15,466,1058,2607,s
u,225.69,492,1175,2665,s
u,211.97,490,1081,2759,s
o,296.66,755,1121,3124,s
a,176.63,1162,1842,2655,s
ʌ,266.26,957,1270,3104,s
u,139.19,309,1447,2741,s
ø,348.54,537,1830,2698,s
i,139.44,420,2852,3279,s
ø,145.24,576,1891,2715,s
o,147.72,662,1142,2727,s
e,309.62,647,2304,2873,s
e,200.84,645,2208,2815,s
i,85.54,316,2431,2900,s
a,193.28,1177,1611,2761,s
o,194.69,669,946,3083,s
ʌ,275.31,874,1184,2972,s
ø,176.90,569,1922,2690,s
ø,201.38,567,1882,2723,s
o,147.76,626,1058,2874,s
a,142.70,1112,1618,2650,s
u,322.09,486,1282,2909,s
u,206.35,508,1078,2194,s
a,266.72,1231,1871,3005,s
ʌ,171.42,970,1257,3050,s
u,247.72,388,1275,2829,s
u,168.07,304,1545,2624,s
u,179.90,321,1386,2718,s
ɛ,306.79,706,2369,3003,s
a,260.35,1135,1775,2701,s
i,118.12,335,2670,3061,s
ʌ,171.06,946,1226,2776,s
u,138.61,455,1170,2315,s
e,121.76,589,2327,2963,s
u,273.20,365,1219,2657,s
o,232.12,636,1080,2752,s
ʌ,165.54,911,1231,2700,s
e,173.00,547,2473,3014,s
i,284.49,383,2808,3369,s
u,106.56,308,1398,2827,s
u,137.90,460,1227,3157,s
ʌ,179.80,1062,1387,3185,s
o,263.84,600,1091,2991,s
ø,145.72,617,1903,2638,s
u,252.44,440,1068,3196,s
o,276.09,660,975,3113,s
i,143.75,312,2529,3087,s
ɛ,269.70,750,2152,2626,s
o,132.46,592,1125,2785,s
ʌ,161.47,986,1299,2798,s
e,227.07,644,2466,3162,s
u,129.63,328,1421,2960,s
ʌ,201.35,917,1253,2781,s
ø,241.67,565,1831,2723,s
ʌ,200.84,951,1297,3004,s
e,159.75,646,2263,2744,s
ʌ,187.07,937,1265,2908,s
ø,148.84,579,1860,2784,s
e,152.04,567,2415,3042,s
a,146.29,1060,1779,2529,s
u,259.90,391,1042,3060,s
u,260.72,335,1290,2702,s
o,143.57,670,1008,3148,s
i,289.61,346,2844,3269,s
i,140.14,351,2876,3464,s
a,192.44,1158,1678,2735,s
a,238.17,1134,1879,2910,s
e,129.10,618,2300,3026,s
ø,148.25,576,1654,2711,s
a,178.00,1394,1635,3026,s
i,93.98,316,2698,3282,s
o,148.55,654,1001,2947,s
a,230.08,1208,1749,3005,s
ø,141.09,626,1946,2864,s
ɛ,280.21,751,2558,3203,s
a,143.92,1110,1761,2611,s
ʌ,171.98,1063,1290,3189,s
a,188.76,1192,1614,2942,s
a,155.98,1090,1664,2747,s
o,229.84,569,1020,2938,s
u,268.87,442,1079,2471,s
e,172.83,624,2305,3018,s
i,251.90,443,2723,3022,s
o,228.03,648,1022,3068,s
e,202.02,711,2234,2878,s
u,157.90,308,1414,2813,s
o,127.80,675,1024,2954,s
ø,247.51,536,1881,2728,s
a,236.40,1096,1675,2872,s
ʌ,169.87,940,1288,2902,s
u,67.04,353,1240,2914,s
i,100.46,328,2478,2767,s
e,199.25,655,2432,2978,s
u,192.44,340,1281,2960,s
o,156.84,742,970,3071,s
ø,161.32,641,1743,2734,s
i,68.11,315,2633,3171,s
u,194.38,445,1241,2867,s
i,129.31,320,2583,3008,s
u,102.41,325,1500,2806,s
ʌ,186.40,926,1319,2989,s
ʌ,153.14,914,1277,2834,s
o,116.89,613,1171,2846,s
e,96.43,633,2191,2870,s
ʌ,215.83,953,1232,3069,s
a,232.55,1149,1667,3062,s
ø,133.31,556,1724,2645,s
u,152.24,434,1376,2730,s
ʌ,181.08,927,1294,2879,s
o,204.99,545,956,3097,s
e,151.12,660,2217,2919,s
u,119.90,318,1399,2712,s
a,135.19,1120,1772,2462,s
a,174.34,1122,1748,2764,s
u,197.59,352,1403,2766,s
ɛ,240.27,792,2219,2830,s
a,233.48,1195,1755,2976,s
ʌ,208.45,928,1230,2926,s
a,188.34,1308,1605,2923,s
o,228.85,563,1029,2914,s
e,198.86,640,2455,3049,s
ʌ,173.99,1104,1383,3303,s
i,244.06,387,2817,3298,s
ʌ,163.85,937,1214,2825,s
ø,174.60,612,1925,2838,s
ø,181.48,602,1692,2746,s
o,131.39,644,1042,2980,s
o,115.53,649,1149,2711,s
i,77.13,302,2785,2996,s
u,106.62,398,1074,3082,s
e,142.06,609,2195,2852,s
u,141.72,305,1571,2780,s
ø,125.42,565,1688,2688,s
i,111.81,391,2699,3246,s
ʌ,159.56,1056,1236,3168,s
ø,200.44,509,1782,2701,s
u,189.41,450,1061,3127,s
u,188.34,480,1035,2877,s
o,156.28,744,1054,3194,s
i,108.80,317,2583,2800,s
a,147.78,1115,1660,2678,s
ø,149.55,576,1853,2511,s
e,113.06,581,2358,2971,s
